"Service Name","Display Name","Startup Type"
"AarSvc_43ff32","Agent Activation Runtime_43ff32","Manual"
"AdobeARMservice","Adobe Acrobat Update Service","Automatic"
"AJRouter","AllJoyn Router Service","Manual"
"ALG","Application Layer Gateway Service","Manual"
"AppIDSvc","Application Identity","Manual"
"Appinfo","Application Information","Manual"
"AppMgmt","Application Management","Manual"
"AppReadiness","App Readiness","Manual"
"AppVClient","Microsoft App-V Client","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Automatic"
"Audiosrv","Windows Audio","Automatic"
"autotimesvc","Cellular Time","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Manual"
"BcastDVRUserService_43ff32","GameDVR and Broadcast User Service_43ff32","Manual"
"BDESVC","BitLocker Drive Encryption Service","Manual"
"BFE","Base Filtering Engine","Automatic"
"BITS","Background Intelligent Transfer Service","Manual"
"BluetoothUserService_43ff32","Bluetooth User Support Service_43ff32","Manual"
"brave","Brave Update Service (brave)","Automatic"
"BraveElevationService","Brave Elevation Service (BraveElevationService)","Manual"
"bravem","Brave Update Service (bravem)","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Automatic"
"Browser","Computer Browser","Manual"
"BTAGService","Bluetooth Audio Gateway Service","Manual"
"BthAvctpSvc","AVCTP service","Manual"
"bthserv","Bluetooth Support Service","Manual"
"camsvc","Capability Access Manager Service","Manual"
"CaptureService_43ff32","CaptureService_43ff32","Manual"
"cbdhsvc_43ff32","Clipboard User Service_43ff32","Automatic"
"CDPSvc","Connected Devices Platform Service","Automatic"
"CDPUserSvc_43ff32","Connected Devices Platform User Service_43ff32","Automatic"
"CertPropSvc","Certificate Propagation","Manual"
"ClickToRunSvc","?Microsoft Office Click-to-Run Service?","Automatic"
"ClipSVC","Client Licence Service (ClipSVC)","Manual"
"CloudBackupRestoreSvc_43ff32","Cloud Backup and Restore Service_43ff32","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Manual"
"CmService","Container Manager Service","Automatic"
"COMSysApp","COM+ System Application","Manual"
"ConsentUxUserSvc_43ff32","ConsentUX User Service_43ff32","Manual"
"CoreMessagingRegistrar","CoreMessaging","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Automatic"
"CredentialEnrollmentManagerUserSvc_43ff32","CredentialEnrollmentManagerUserSvc_43ff32","Manual"
"CryptSvc","Cryptographic Services","Automatic"
"CscService","Offline Files","Manual"
"DcomLaunch","DCOM Server Process Launcher","Automatic"
"dcsvc","Declared Configuration(DC) service","Manual"
"defragsvc","Optimise drives","Manual"
"DeviceAssociationBrokerSvc_43ff32","DeviceAssociationBroker_43ff32","Manual"
"DeviceAssociationService","Device Association Service","Automatic"
"DeviceInstall","Device Install Service","Manual"
"DevicePickerUserSvc_43ff32","DevicePicker_43ff32","Manual"
"DevicesFlowUserSvc_43ff32","DevicesFlow_43ff32","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Manual"
"Dhcp","DHCP Client","Automatic"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Manual"
"diagsvc","Diagnostic Execution Service","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Automatic"
"DialogBlockingService","DialogBlockingService","Disabled"
"DispBrokerDesktopSvc","Display Policy Service","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Manual"
"Dnscache","DNS Client","Automatic"
"DoSvc","Delivery Optimization","Automatic"
"dot3svc","Wired AutoConfig","Manual"
"DPS","Diagnostic Policy Service","Automatic"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Automatic"
"DsmSvc","Device Setup Manager","Manual"
"DsSvc","Data Sharing Service","Manual"
"DusmSvc","Data Usage","Automatic"
"EapHost","Extensible Authentication Protocol","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Manual"
"EFS","Encrypting File System (EFS)","Manual"
"ELAN_MOC_Service","ELAN MOC Service","Automatic"
"embeddedmode","Embedded Mode","Manual"
"EntAppSvc","Enterprise App Management Service","Manual"
"EventLog","Windows Event Log","Automatic"
"EventSystem","COM+ Event System","Automatic"
"Fax","Fax","Manual"
"fdPHost","Function Discovery Provider Host","Manual"
"FDResPub","Function Discovery Resource Publication","Manual"
"fhsvc","File History Service","Manual"
"FileSyncHelper","FileSyncHelper","Manual"
"FMAPOService","Fortemedia APO Control Service","Automatic"
"FontCache","Windows Font Cache Service","Automatic"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Manual"
"FrameServer","Windows Camera Frame Server","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Manual"
"GameInputSvc","GameInput Service","Manual"
"gcs","Hyper-V Guest Compute Service","Manual"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Manual"
"GoogleUpdaterInternalService128.0.6537.0","GoogleUpdater InternalService 128.0.6537.0 (GoogleUpdaterInternalService128.0.6537.0)","Automatic"
"GoogleUpdaterService128.0.6537.0","GoogleUpdater Service 128.0.6537.0 (GoogleUpdaterService128.0.6537.0)","Automatic"
"gpsvc","Group Policy Client","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Manual"
"hidserv","Human Interface Device Service","Manual"
"HNS","Host Network Service","Manual"
"HotKeyServiceUWP","HP Hotkey UWP Service","Automatic"
"HPAppHelperCap","HP App Helper HSA Service","Automatic"
"HPAudioAnalytics","HP Audio Analytics Service","Automatic"
"HPDiagsCap","HP Diagnostics HSA Service","Automatic"
"HPNetworkCap","HP Network HSA Service","Automatic"
"hpsvcsscan","HP Services Scan","Automatic"
"HPSysInfoCap","HP System Info HSA Service","Automatic"
"HpTouchpointAnalyticsService","HP Analytics service","Automatic"
"HvHost","HV Host Service","Manual"
"icssvc","Windows Mobile Hotspot Service","Manual"
"igccservice","Intel(R) Graphics Command Center Service","Automatic"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Automatic"
"InstallService","Microsoft Store Install Service","Manual"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Automatic"
"IntelAudioService","Intel(R) Audio Service","Automatic"
"InventorySvc","Inventory and Compatibility Appraisal service","Manual"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Automatic"
"iphlpsvc","IP Helper","Automatic"
"IpxlatCfgSvc","IP Translation Configuration Service","Manual"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Automatic"
"KeyIso","CNG Key Isolation","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Manual"
"LanmanServer","Server","Automatic"
"LanmanWorkstation","Workstation","Automatic"
"LanWlanWwanSwitchingServiceUWP","HP LAN/WLAN/WWAN Switching UWP Service","Automatic"
"lfsvc","Geolocation Service","Manual"
"LicenseManager","Windows License Manager Service","Manual"
"lltdsvc","Link-Layer Topology Discovery Mapper","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Manual"
"LSM","Local Session Manager","Automatic"
"LxpSvc","Language Experience Service","Manual"
"LxssManager","LxssManager","Manual"
"MapsBroker","Downloaded Maps Manager","Automatic"
"McpManagementService","McpManagementService","Manual"
"MDCoreSvc","Microsoft Defender Core Service","Automatic"
"MessagingService_43ff32","MessagingService_43ff32","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Manual"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Manual"
"MozillaMaintenance","Mozilla Maintenance Service","Manual"
"mpssvc","Windows Defender Firewall","Automatic"
"MSDTC","Distributed Transaction Coordinator","Manual"
"MSiSCSI","Microsoft iSCSI Initiator Service","Manual"
"msiserver","Windows Installer","Manual"
"MsKeyboardFilter","Microsoft Keyboard Filter","Disabled"
"NaturalAuthentication","Natural Authentication","Manual"
"NcaSvc","Network Connectivity Assistant","Manual"
"NcbService","Network Connection Broker","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Manual"
"Netlogon","Netlogon","Automatic"
"Netman","Network Connections","Manual"
"netprofm","Network List Service","Manual"
"NetSetupSvc","Network Setup Service","Manual"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Manual"
"NgcSvc","Microsoft Passport","Manual"
"NlaSvc","Network Location Awareness","Manual"
"NPSMSvc_43ff32","NPSMSvc_43ff32","Manual"
"nsi","Network Store Interface Service","Automatic"
"nvagent","Network Virtualization Service","Manual"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Automatic"
"OneDrive Updater Service","OneDrive Updater Service","Manual"
"OneSyncSvc_43ff32","Sync Host_43ff32","Automatic"
"OpenVPNServiceInteractive","OpenVPN Service","Manual"
"ose","Office  Source Engine","Manual"
"p2pimsvc","Peer Networking Identity Manager","Manual"
"p2psvc","Peer Networking Grouping","Manual"
"P9RdrService_43ff32","P9RdrService_43ff32","Manual"
"PcaSvc","Program Compatibility Assistant Service","Automatic"
"PeerDistSvc","BranchCache","Manual"
"PenService_43ff32","PenService_43ff32","Manual"
"perceptionsimulation","Windows Perception Simulation Service","Manual"
"PerfHost","Performance Counter DLL Host","Manual"
"PhoneSvc","Phone Service","Manual"
"PimIndexMaintenanceSvc_43ff32","Contact Data_43ff32","Manual"
"pla","Performance Logs & Alerts","Manual"
"PlugPlay","Plug and Play","Manual"
"PNRPAutoReg","PNRP Machine Name Publication Service","Manual"
"PNRPsvc","Peer Name Resolution Protocol","Manual"
"PolicyAgent","IPsec Policy Agent","Manual"
"Power","Power","Automatic"
"PrintNotify","Printer Extensions and Notifications","Manual"
"PrintWorkflowUserSvc_43ff32","PrintWorkflow_43ff32","Manual"
"ProfSvc","User Profile Service","Automatic"
"PushToInstall","Windows PushToInstall Service","Manual"
"QWAVE","Quality Windows Audio Video Experience","Manual"
"RasAuto","Remote Access Auto Connection Manager","Manual"
"RasMan","Remote Access Connection Manager","Manual"
"RemoteAccess","Routing and Remote Access","Disabled"
"RemoteRegistry","Remote Registry","Disabled"
"RetailDemo","Retail Demo Service","Manual"
"RmSvc","Radio Management Service","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Automatic"
"RpcLocator","Remote Procedure Call (RPC) Locator","Manual"
"RpcSs","Remote Procedure Call (RPC)","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Automatic"
"SamSs","Security Accounts Manager","Automatic"
"SCardSvr","Smart Card","Manual"
"ScDeviceEnum","Smart Card Device Enumeration Service","Manual"
"Schedule","Task Scheduler","Automatic"
"SCPolicySvc","Smart Card Removal Policy","Manual"
"scvpn","Sophos Connect Service","Automatic"
"SDRSVC","Windows Backup","Manual"
"seclogon","Secondary Log-on","Manual"
"SECOMNService","Sound Research SECOMN Service","Automatic"
"SecurityHealthService","Windows Security Service","Manual"
"SEMgrSvc","Payments and NFC/SE Manager","Manual"
"SENS","System Event Notification Service","Automatic"
"Sense","Windows Defender Advanced Threat Protection Service","Manual"
"SensorDataService","Sensor Data Service","Manual"
"SensorService","Sensor Service","Manual"
"SensrSvc","Sensor Monitoring Service","Manual"
"SessionEnv","Remote Desktop Configuration","Manual"
"SFUService","HP SFU Service","Automatic"
"SgrmBroker","System Guard Runtime Monitor Broker","Disabled"
"SharedAccess","Internet Connection Sharing (ICS)","Manual"
"SharedRealitySvc","Spatial Data Service","Manual"
"ShellHWDetection","Shell Hardware Detection","Automatic"
"shpamsvc","Shared PC Account Manager","Disabled"
"smphost","Microsoft Storage Spaces SMP","Manual"
"SmsRouter","Microsoft Windows SMS Router Service.","Manual"
"SNMPTrap","SNMP Trap","Manual"
"spectrum","Windows Perception Service","Manual"
"Spooler","Print Spooler","Automatic"
"sppsvc","Software Protection","Automatic"
"ss_conn_service","SAMSUNG Mobile Connectivity Service","Automatic"
"ss_conn_service2","SAMSUNG Mobile Connectivity Service V2","Automatic"
"SSDPSRV","SSDP Discovery","Manual"
"ssh-agent","OpenSSH Authentication Agent","Disabled"
"sshd","OpenSSH SSH Server","Manual"
"SstpSvc","Secure Socket Tunneling Protocol Service","Manual"
"StateRepository","State Repository Service","Automatic"
"StiSvc","Windows Image Acquisition (WIA)","Automatic"
"StorSvc","Storage Service","Automatic"
"strongSwan","strongSwan IPsec Service","Manual"
"svsvc","Spot Verifier","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Manual"
"SysMain","SysMain","Automatic"
"SystemEventsBroker","System Events Broker","Automatic"
"TapiSrv","Telephony","Manual"
"TermService","Remote Desktop Services","Manual"
"TextInputManagementService","Text Input Management Service","Automatic"
"TFTPServer","Open TFTP MultiThreaded Server","Automatic"
"Themes","Themes","Automatic"
"TieringEngineService","Storage Tiers Management","Manual"
"TimeBrokerSvc","Time Broker","Manual"
"TokenBroker","Web Account Manager","Manual"
"TrkWks","Distributed Link Tracking Client","Automatic"
"TroubleshootingSvc","Recommended Troubleshooting Service","Manual"
"TrustedInstaller","Windows Modules Installer","Manual"
"tzautoupdate","Auto Time Zone Updater","Disabled"
"UdkUserSvc_43ff32","Udk User Service_43ff32","Manual"
"UevAgentService","User Experience Virtualization Service","Disabled"
"uhssvc","Microsoft Update Health Service","Automatic"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Manual"
"UnistoreSvc_43ff32","User Data Storage_43ff32","Manual"
"upnphost","UPnP Device Host","Manual"
"UserDataSvc_43ff32","User Data Access_43ff32","Manual"
"UserManager","User Manager","Automatic"
"UsoSvc","Update Orchestrator Service","Automatic"
"VacSvc","Volumetric Audio Compositor Service","Manual"
"VaultSvc","Credential Manager","Manual"
"VBoxSDS","VirtualBox system service","Manual"
"vds","Virtual Disk","Manual"
"VGAuthService","VMware Alias Manager and Ticket Service","Automatic"
"vm3dservice","VMware SVGA Helper Service","Automatic"
"VMAuthdService","VMware Authorization Service","Automatic"
"vmcompute","Hyper-V Host Compute Service","Manual"
"vmicguestinterface","Hyper-V Guest Service Interface","Manual"
"vmicheartbeat","Hyper-V Heartbeat Service","Manual"
"vmickvpexchange","Hyper-V Data Exchange Service","Manual"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Manual"
"vmicshutdown","Hyper-V Guest Shutdown Service","Manual"
"vmictimesync","Hyper-V Time Synchronization Service","Manual"
"vmicvmsession","Hyper-V PowerShell Direct Service","Manual"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Manual"
"VMnetDHCP","VMware DHCP Service","Automatic"
"VMTools","VMware Tools","Automatic"
"VMUSBArbService","VMware USB Arbitration Service","Automatic"
"vmvss","VMware Snapshot Provider","Manual"
"VMware NAT Service","VMware NAT Service","Automatic"
"vmware-converter-agent","VMware vCenter Converter Standalone Agent","Automatic"
"vmware-converter-server","VMware vCenter Converter Standalone Server","Automatic"
"vmware-converter-worker","VMware vCenter Converter Standalone Worker","Automatic"
"VSS","Volume Shadow Copy","Manual"
"w32time","Windows Time","Automatic"
"WaaSMedicSvc","WaaSMedicSvc","Manual"
"WalletService","WalletService","Manual"
"WarpJITSvc","Warp JIT Service","Manual"
"wbengine","Block Level Backup Engine Service","Manual"
"WbioSrvc","Windows Biometric Service","Automatic"
"Wcmsvc","Windows Connection Manager","Automatic"
"wcncsvc","Windows Connect Now - Config Registrar","Manual"
"WdiServiceHost","Diagnostic Service Host","Manual"
"WdiSystemHost","Diagnostic System Host","Manual"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Manual"
"WebClient","WebClient","Manual"
"webthreatdefsvc","Web Threat Defense Service","Manual"
"webthreatdefusersvc_43ff32","Web Threat Defense User Service_43ff32","Automatic"
"Wecsvc","Windows Event Collector","Manual"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Manual"
"wercplsupport","Problem Reports Control Panel Support","Manual"
"WerSvc","Windows Error Reporting Service","Manual"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Manual"
"WiaRpc","Still Image Acquisition Events","Manual"
"WinDefend","Microsoft Defender Antivirus Service","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Manual"
"Winmgmt","Windows Management Instrumentation","Automatic"
"WinRM","Windows Remote Management (WS-Management)","Automatic"
"wisvc","Windows Insider Service","Manual"
"WlanSvc","WLAN AutoConfig","Automatic"
"wlidsvc","Microsoft Account Sign-in Assistant","Manual"
"wlpasvc","Local Profile Assistant Service","Manual"
"WManSvc","Windows Management Service","Manual"
"wmiApSrv","WMI Performance Adapter","Manual"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Automatic"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Manual"
"workfolderssvc","Work Folders","Manual"
"WpcMonSvc","Parental Controls","Manual"
"WPDBusEnum","Portable Device Enumerator Service","Manual"
"WpnService","Windows Push Notifications System Service","Automatic"
"WpnUserService_43ff32","Windows Push Notifications User Service_43ff32","Automatic"
"wscsvc","Security Center","Automatic"
"WSearch","Windows Search","Automatic"
"wuauserv","Windows Update","Manual"
"WwanSvc","WWAN AutoConfig","Manual"
"XblAuthManager","Xbox Live Auth Manager","Disabled"
"XblGameSave","Xbox Live Game Save","Disabled"
"XboxGipSvc","Xbox Accessory Management Service","Disabled"
"XboxNetApiSvc","Xbox Live Networking Service","Disabled"
"XTU3SERVICE","XTUOCDriverService","Automatic"
